,OrphaNumber,Disorder_Name,Category
2049,3216,Conductive deafness-malformed external ear syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
2050,3217,Deafness-small bowel diverticulosis-neuropathy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
2051,3218,Deafness-epiphyseal dysplasia-short stature syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
2052,3219,Fountain syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare otorhinolaryngological diseases
2053,3220,Deafness-enamel hypoplasia-nail defects syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare odontological diseases|rare otorhinolaryngological diseases
2054,3222,Phosphoribosylpyrophosphate synthetase superactivity,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare renal diseases
2055,3224,Deafness-genital anomalies-metacarpal and metatarsal synostosis syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare urogenital diseases|rare otorhinolaryngological diseases
2056,3225,Hearing loss-familial salivary gland insensitivity to aldosterone syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
2057,3230,Deafness-oligodontia syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare odontological diseases|rare otorhinolaryngological diseases
2058,3231,Deafness-onychodystrophy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders|rare otorhinolaryngological diseases
2059,3232,Deafness-ear malformation-facial palsy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
2060,3233,Cochleosaccular degeneration-cataract syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare otorhinolaryngological diseases
2061,3235,Progressive deafness with stapes fixation,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
2062,3236,Conductive deafness-ptosis-skeletal anomalies syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases
2063,3237,Multiple synostoses syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases|rare otorhinolaryngological diseases
2064,3238,Cardiospondylocarpofacial syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
2065,3239,Deafness-vitiligo-achalasia syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
2066,3240,Early-onset progressive leukoencephalopathy-central nervous system calcification-deafness-visual impairment syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare renal diseases|rare immunological diseases|rare otorhinolaryngological diseases
2067,3241,Deafness-craniofacial syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
2068,3242,Renpenning syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2069,3243,Sweet syndrome,rare genetic diseases|rare skin diseases|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
2070,3246,Symphalangism with multiple anomalies of hands and feet,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2071,3248,Isolated distal symphalangism,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2072,3250,Proximal symphalangism,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2073,3253,Cleft lip/palate-ectodermal dysplasia syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
2074,3255,Filippi syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
2075,3258,Cenani-Lenz syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2076,3259,Syndactyly-polydactyly-ear lobe syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2077,3260,Idiopathic hypereosinophilic syndrome,rare cardiac diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
2078,3261,Autoimmune lymphoproliferative syndrome,rare genetic diseases|rare hematological diseases|rare immunological diseases|rare neoplastic diseases|rare transplant-related disorders
2079,3262,Dobrow syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2080,3263,Syngnathia-cleft palate syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
2081,3265,Isolated humero-radial synostosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2082,3266,Isolated humero-radio-ulnar synostosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2083,3268,Radioulnar synostosis-microcephaly-scoliosis syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2084,3269,Isolated radio-ulnar synostosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2085,3270,Radioulnar synostosis-developmental delay-hypotonia syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
2086,3273,Synovial sarcoma,rare neoplastic diseases|Classification of pediatric cancer (Functional)
2087,3275,Spondylocarpotarsal synostosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2088,3276,Disorder of plasmalogens biosynthesis,rare inborn errors of metabolism|rare genetic diseases
2089,3280,Syringomyelia,rare neurological diseases
2090,3282,Multifocal atrial tachycardia,rare cardiac diseases
2091,3283,His bundle tachycardia,rare cardiac diseases|rare genetic diseases
2092,3286,Catecholaminergic polymorphic ventricular tachycardia,rare cardiac diseases|rare genetic diseases
2093,3287,Takayasu arteritis,rare renal diseases|rare systemic and rheumatological diseases|rare circulatory system diseases|rare systemic or rheumatologic diseases of childhood|rare transplant-related disorders
2094,3291,Teebi-Shaltout syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare bone diseases
2095,3292,Tel Hashomer camptodactyly syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
2096,3293,Telecanthus-hypertelorism-strabismus-pes cavus syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
2097,3294,Extensor tendons of finger anomalies,rare developmental anomalies during embryogenesis|rare genetic diseases
2098,3299,Tetanus,rare neurological diseases|rare infectious diseases
2099,3301,Tetraamelia-multiple malformations syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare bone diseases
2100,3303,Tetralogy of Fallot,rare developmental anomalies during embryogenesis|rare cardiac malformations
2101,3304,Fallot complex-intellectual disability-growth delay syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2102,3305,Tetraploidy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
2103,3306,Inverted duplicated chromosome 15 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2104,3307,Tetrasomy 18p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
2105,3309,Tetrasomy 5p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
2106,3310,Tetrasomy 9p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
2107,3312,Thalidomide embryopathy,rare developmental anomalies during embryogenesis|rare bone diseases|rare disorders due to toxic effects|rare teratologic disorders
2108,3314,"Thiemann disease, familial form",rare genetic diseases|rare systemic and rheumatological diseases|rare bone diseases
2109,3316,Thomas syndrome,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare genetic diseases|rare renal diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases|rare transplant-related disorders
2110,3317,Thoracolaryngopelvic dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare respiratory diseases|rare bone diseases
2111,3318,Essential thrombocythemia,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
2112,3319,Congenital amegakaryocytic thrombocytopenia,rare genetic diseases|rare hematological diseases|rare transplant-related disorders
2113,3320,Thrombocytopenia-absent radius syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare hematological diseases|rare bone diseases
2114,3322,Hoyeraal-Hreidarsson syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare hematological diseases|rare immunological diseases|rare transplant-related disorders
2115,3324,Familial thrombomodulin anomalies,rare genetic diseases|rare hematological diseases
2116,3325,Classic heparin-induced thrombocytopenia,rare hematological diseases|rare systemic and rheumatological diseases
2117,3326,Thymic-renal-anal-lung dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare transplant-related disorders
2118,3327,Thyrocerebrorenal syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare transplant-related disorders
2119,3328,Absent tibia-polydactyly-arachnoid cyst syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2120,3329,Tibial aplasia-ectrodactyly syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
2121,3337,Primary Fanconi renotubular syndrome,rare genetic diseases|rare renal diseases|rare transplant-related disorders
2122,3338,Toriello-Carey syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
2123,3339,Oculoectodermal syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases
2124,3341,Torticollis-keloids-cryptorchidism-renal dysplasia syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases
2125,3342,Arterial tortuosity syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare surgical thoracic diseases|rare skin diseases|rare circulatory system diseases
2126,3343,Toxocariasis,rare infectious diseases
2127,3344,Weismann-Netter syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2128,3346,Tracheal agenesis,rare developmental anomalies during embryogenesis|rare respiratory diseases|rare surgical thoracic diseases|rare otorhinolaryngological diseases
2129,3347,Mounier-Kühn syndrome,rare respiratory diseases
2130,3348,Tracheobronchopathia osteochondroplastica,rare respiratory diseases
2131,3350,Tremor-nystagmus-duodenal ulcer syndrome,rare neurological diseases
2132,3351,Trichodental syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare odontological diseases
2133,3352,Tricho-dento-osseous syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare odontological diseases|rare bone diseases
2134,3353,Trichodermodysplasia-dental alterations syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare odontological diseases
2135,3355,Trichoodontoonychial dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare odontological diseases
2136,3361,Trichodysplasia-xeroderma syndrome,rare genetic diseases|rare skin diseases
2137,3363,Trichomegaly-retina pigmentary degeneration-dwarfism syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders
2138,3365,Trigonocephaly-broad thumbs syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2139,3366,Non-syndromic metopic craniosynostosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare bone diseases
2140,3368,Trigonocephaly-bifid nose-acral anomalies syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
2141,3369,Trigonocephaly-short stature-developmental delay syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
2142,3374,Unilateral ocular duplication,rare genetic diseases|rare ophthalmic disorders
2143,3375,Trisomy X syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare endocrine diseases|rare infertility disorders|rare gynecological and obstetric diseases
2144,3376,Triploidy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
2145,3377,Trismus-pseudocamptodactyly syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
2146,3378,Trisomy 13 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare renal diseases|rare ophthalmic disorders|rare transplant-related disorders
2147,3379,Distal duplication 17q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
2148,3380,Trisomy 18 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare renal diseases|rare ophthalmic disorders|rare transplant-related disorders
2149,3383,Humerus trochlea aplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2150,3384,Common arterial trunk,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare genetic diseases
2151,3385,African trypanosomiasis,rare infectious diseases
2152,3386,American trypanosomiasis,rare infectious diseases
2153,3387,Isolated anterior cervical hypertrichosis,rare genetic diseases|rare skin diseases
2154,3388,Neural tube defect,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2155,3389,Tuberculosis,rare infectious diseases
2156,3392,Tularemia,rare infectious diseases
2157,3394,Soft tissue sarcoma,rare neoplastic diseases
2158,3398,Thymic epithelial neoplasm,rare neoplastic diseases
2159,3399,Germ cell tumor,rare neoplastic diseases|rare transplant-related disorders
2160,3400,Aorto-ventricular tunnel,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare circulatory system diseases
2161,3402,Transient tyrosinemia of the newborn,rare inborn errors of metabolism|rare genetic diseases
2162,3403,Uhl anomaly,rare cardiac diseases
2163,3404,Ulbright-Hodes syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare renal diseases|rare transplant-related disorders
2164,3405,Umbilical cord ulceration-intestinal atresia syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare transplant-related disorders
2165,3406,Ulerythema ophryogenesis,rare genetic diseases|rare skin diseases
2166,3408,Upington disease,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2167,3409,Urban-Rogers-Meyer syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2168,3411,Double uterus-hemivagina-renal agenesis syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare renal diseases|rare gynecological and obstetric diseases|rare transplant-related disorders
2169,3412,VACTERL with hydrocephalus,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare abdominal surgical diseases|rare transplant-related disorders
2170,3416,Hyperostosis corticalis generalisata,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2171,3417,Van den Bosch syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders
2172,3424,Velo-facial-skeletal syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
2173,3426,Double outlet right ventricle,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare genetic diseases
2174,3427,Double outlet left ventricle,rare developmental anomalies during embryogenesis|rare cardiac malformations
2175,3429,Verloove Vanhorick-Brubakk syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
2176,3433,Microcephaly-brachydactyly-kyphoscoliosis syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
2177,3434,MMEP syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
2178,3437,Vogt-Koyanagi-Harada disease,rare neurological diseases|rare ophthalmic disorders
2179,3439,Von Voss-Cherstvoy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
2180,3440,Waardenburg syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare otorhinolaryngological diseases
2181,3447,Weaver syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
2182,3448,Weaver-Williams syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
2183,3449,Weill-Marchesani syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare bone diseases
2184,3452,Whipple disease,rare gastroenterological diseases|rare genetic diseases|rare neurological diseases|rare immunological diseases|rare infectious diseases
2185,3453,Autoimmune polyendocrinopathy type 1,rare gastroenterological diseases|rare genetic diseases|rare ophthalmic disorders|rare endocrine diseases|rare immunological diseases|rare infertility disorders|rare neoplastic diseases|rare gynecological and obstetric diseases|rare transplant-related disorders
2186,3454,Wieacker-Wolff syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
2187,3455,Wiedemann-Rautenstrauch syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare endocrine diseases
2188,3456,Wildervanck syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2189,3459,Wilson-Turner syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare endocrine diseases
2190,3463,Wolfram syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare endocrine diseases|rare otorhinolaryngological diseases
2191,3464,Woodhouse-Sakati syndrome,rare genetic diseases|rare neurological diseases|rare endocrine diseases|rare infertility disorders|rare gynecological and obstetric diseases
2192,3465,Worster-Drought syndrome,rare neurological diseases
2193,3466,WT limb-blood syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare hematological diseases|rare bone diseases|rare transplant-related disorders
2194,3467,Hereditary xanthinuria,rare inborn errors of metabolism|rare genetic diseases|rare renal diseases
2195,3469,XK aprosencephaly syndrome,rare developmental anomalies during embryogenesis|rare neurological diseases
2196,3471,Young syndrome,rare genetic diseases|rare respiratory diseases|rare infertility disorders
2197,3472,Yunis-Varon syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
2198,3473,Zimmermann-Laband syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare odontological diseases
2199,3474,CHIME syndrome,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders|rare otorhinolaryngological diseases
2200,25968,Self-limited childhood occipital epilepsy,rare genetic diseases|rare neurological diseases
2201,25980,X-linked myopathy with excessive autophagy,rare genetic diseases|rare neurological diseases
2202,26106,Hereditary diffuse gastric cancer,rare gastroenterological diseases|rare genetic diseases|rare neoplastic diseases
2203,26137,Juvenile temporal arteritis,rare systemic and rheumatological diseases|rare circulatory system diseases
2204,26348,Acquired prothrombin deficiency,rare hematological diseases
2205,26349,Protein S acquired deficiency,rare hematological diseases
2206,26790,Pseudomyxoma peritonei,rare abdominal surgical diseases|rare neoplastic diseases|rare transplant-related disorders
2207,26791,Multiple acyl-CoA dehydrogenase deficiency,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
2208,26792,Short chain acyl-CoA dehydrogenase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
2209,26793,Very long chain acyl-CoA dehydrogenase deficiency,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
2210,28378,Tyrosinemia type 2,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders
2211,29072,Hereditary pheochromocytoma-paraganglioma,rare genetic diseases|rare endocrine diseases|rare neoplastic diseases
2212,29073,Multiple myeloma,rare neurological diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
2213,29207,Reactive arthritis,rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
2214,29822,Spontaneous periodic hypothermia,rare neurological diseases
2215,30391,Isolated biliary atresia,rare developmental anomalies during embryogenesis|rare abdominal surgical diseases|rare hepatic diseases|rare transplant-related disorders
2216,30924,Primary hypomagnesemia with secondary hypocalcemia,rare inborn errors of metabolism|rare genetic diseases|rare renal diseases
2217,30925,Hereditary arginine vasopressin deficiency,rare genetic diseases|rare endocrine diseases
2218,31043,Primary hypomagnesemia with hypercalciuria and nephrocalcinosis without severe ocular involvement,rare inborn errors of metabolism|rare genetic diseases|rare renal diseases|rare transplant-related disorders
2219,31112,Dermatofibrosarcoma protuberans,rare genetic diseases|rare skin diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
2220,31150,Tangier disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare endocrine diseases
2221,31153,Hypoalphalipoproteinemia,rare inborn errors of metabolism|rare genetic diseases|rare endocrine diseases
2222,31154,Hypobetalipoproteinemia,rare inborn errors of metabolism|rare genetic diseases|rare endocrine diseases
2223,31202,Melioidosis,rare infectious diseases
2224,31204,Nocardiosis,rare infectious diseases
2225,31205,Rat-bite fever,rare infectious diseases
2226,31709,Infantile convulsions and choreoathetosis,rare genetic diseases|rare neurological diseases
2227,31740,Hypersensitivity pneumonitis,rare respiratory diseases|rare allergic disease|rare transplant-related disorders
2228,31824,Colchicine poisoning,rare disorders due to toxic effects
2229,31825,Methanol poisoning,rare disorders due to toxic effects
2230,31826,Ethylene glycol poisoning,rare disorders due to toxic effects
2231,31827,Paraquat poisoning,rare disorders due to toxic effects
2232,31828,Digitalis poisoning,rare disorders due to toxic effects
2233,31837,Pulmonary venoocclusive disease,rare genetic diseases|rare respiratory diseases
2234,32960,Tumor necrosis factor receptor 1 associated periodic syndrome,rare genetic diseases|rare skin diseases|rare immunological diseases|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
2235,33001,Lymphedema-distichiasis syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare ophthalmic disorders|rare circulatory system diseases
2236,33067,"Metaphyseal chondrodysplasia, Jansen type",rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
2237,33069,Dravet syndrome,rare genetic diseases|rare neurological diseases
2238,33108,Lethal multiple pterygium syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
2239,33110,Autosomal non-syndromic agammaglobulinemia,rare genetic diseases|rare immunological diseases
2240,33111,Granulomatous slack skin,rare skin diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
2241,33208,Idiopathic hypersomnia,rare neurological diseases
2242,33226,Waldenström macroglobulinemia,rare neurological diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
2243,33276,Kaposi sarcoma,rare developmental anomalies during embryogenesis|rare circulatory system diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
2244,33314,Jessner lymphocytic infiltration of the skin,rare skin diseases
2245,33355,Reticular dysgenesis,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
2246,33364,Trichothiodystrophy,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders|rare infertility disorders
2247,33402,Pediatric hepatocellular carcinoma,rare hepatic diseases|rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
2248,33408,Bullous lichen planus,rare skin diseases
2249,33445,Neuroectodermal melanolysosomal disease,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders
2250,33475,Meningococcal meningitis,rare neurological diseases
2251,33543,Kleine-Levin syndrome,rare neurological diseases
2252,33572,5-oxoprolinase deficiency,rare inborn errors of metabolism|rare genetic diseases
2253,33573,Gamma-glutamyl transpeptidase deficiency,rare inborn errors of metabolism|rare genetic diseases
2254,33574,Glutamate-cysteine ligase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare hematological diseases
2255,33577,Nodular non-suppurative panniculitis,rare skin diseases
2256,34145,Immunoglobulin A nephropathy,rare renal diseases|rare transplant-related disorders
2257,34149,Autosomal dominant tubulointerstitial kidney disease,rare genetic diseases|rare renal diseases|rare transplant-related disorders
2258,34217,Naxos disease,rare cardiac diseases|rare genetic diseases|rare skin diseases|rare transplant-related disorders
2259,34514,Telethonin-related limb-girdle muscular dystrophy R7,rare genetic diseases|rare neurological diseases
2260,34515,FKRP-related limb-girdle muscular dystrophy R9,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
2261,34516,DNAJB6-related limb-girdle muscular dystrophy D1,rare genetic diseases|rare neurological diseases
2262,34520,Congenital muscular dystrophy with integrin alpha-7 deficiency,rare genetic diseases|rare neurological diseases
2263,34528,Autosomal dominant primary hypomagnesemia with hypocalciuria,rare inborn errors of metabolism|rare genetic diseases|rare renal diseases
2264,34533,Corneal dystrophy,rare ophthalmic disorders
2265,34587,Danon disease,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
2266,34592,Immunodeficiency by defective expression of MHC class I,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
2267,35062,Severe disseminated cytomegalovirus infection in immunocompetent patients,rare infectious diseases
2268,35063,Fulminant viral hepatitis,rare hepatic diseases|rare transplant-related disorders
2269,35069,Infantile neuroaxonal dystrophy,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
2270,35078,T-B+ severe combined immunodeficiency due to JAK3 deficiency,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
2271,35093,Non-syndromic sagittal craniosynostosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare bone diseases
2272,35099,Non-syndromic bicoronal craniosynostosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
2273,35107,Desmosterolosis,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare bone diseases
2274,35120,Hemolytic anemia due to pyrimidine 5' nucleotidase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare hematological diseases
2275,35121,Lysosomal acid phosphatase deficiency,rare inborn errors of metabolism|rare genetic diseases
2276,35122,Congenital sucrase-isomaltase deficiency,rare inborn errors of metabolism|rare gastroenterological diseases|rare genetic diseases
2277,35125,Epidermal nevus syndrome,rare genetic diseases|rare skin diseases|rare ophthalmic disorders|rare neoplastic diseases
2278,35173,X-linked dominant chondrodysplasia punctata,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare skin diseases|rare ophthalmic disorders|rare bone diseases
2279,35612,Nanophthalmos,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
2280,35656,Coenzyme Q10 deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
2281,35664,ALDH18A1-related De Barsy syndrome,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare abdominal surgical diseases|rare surgical thoracic diseases|rare skin diseases|rare ophthalmic disorders
2282,35686,Serpiginous choroiditis,rare ophthalmic disorders
2283,35687,Erdheim-Chester disease,rare skin diseases|rare systemic and rheumatological diseases
2284,35689,Primary lateral sclerosis,rare genetic diseases|rare neurological diseases
2285,35696,Mitochondrial disorder due to a defect in mitochondrial protein synthesis,rare inborn errors of metabolism|rare genetic diseases
2286,35698,Mitochondrial DNA depletion syndrome,rare inborn errors of metabolism|rare genetic diseases
2287,35701,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,rare inborn errors of metabolism|rare genetic diseases
2288,35704,L-Arginine:glycine amidinotransferase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
2289,35705,Neurometabolic disorder due to serine deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
